Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
9/7/2017,23:49:17,8.2,14.761,-94.103,45.9,"140 km al SUROESTE de PIJIJIAPAN, CHIS",9/8/2017,4:49:17,revisado
9/8/2017,6:25:55,5,15.7722,-95.0515,9.9,"48 km al SURESTE de SALINA CRUZ, OAX",9/8/2017,11:25:55,revisado
9/8/2017,13:57:23,5.3,16.0142,-95.2013,64.4,"19 km al SUR de SALINA CRUZ, OAX",9/8/2017,18:57:23,revisado
9/8/2017,21:43:36,5,15.2138,-95.1705,16.1,"107 km al SUR de SALINA CRUZ, OAX",9/9/2017,2:43:36,revisado
9/8/2017,22:08:14,5.2,15.744,-94.532,35.2,"86 km al SURESTE de SALINA CRUZ, OAX",9/9/2017,3:08:14,revisado
9/8/2017,23:54:49,5.6,14.7448,-94.0787,23.4,"140 km al SUROESTE de PIJIJIAPAN, CHIS",9/9/2017,4:54:49,revisado
9/9/2017,1:24:20,5,15.6415,-95.0455,17,"62 km al SURESTE de SALINA CRUZ, OAX",9/9/2017,6:24:20,revisado
9/9/2017,6:50:50,5,15.546,-94.7878,19.3,"83 km al SURESTE de SALINA CRUZ, OAX",9/9/2017,11:50:50,revisado
9/9/2017,7:17:40,5.4,15.7908,-94.9293,55.7,"52 km al SURESTE de SALINA CRUZ, OAX",9/9/2017,12:17:40,revisado
9/9/2017,10:30:08,5,15.6373,-95.0492,41.1,"62 km al SUR de SALINA CRUZ, OAX",9/9/2017,15:30:08,revisado
9/9/2017,15:26:16,5,15.5595,-94.899,36.4,"76 km al SURESTE de SALINA CRUZ, OAX",9/9/2017,20:26:16,revisado
9/9/2017,22:07:21,5.8,15.2322,-94.664,19.2,"120 km al SURESTE de SALINA CRUZ, OAX",9/10/2017,3:07:21,revisado
9/10/2017,3:39:37,5.1,15.4808,-94.7593,52.9,"91 km al SURESTE de SALINA CRUZ, OAX",9/10/2017,8:39:37,revisado
9/11/2017,9:55:58,5.2,15.2508,-94.5488,16.1,"124 km al SURESTE de SALINA CRUZ, OAX",9/11/2017,14:55:58,revisado
9/11/2017,16:09:13,5.6,15.002,-94.058,16.1,"118 km al SUROESTE de PIJIJIAPAN, CHIS",9/11/2017,21:09:13,revisado
9/11/2017,20:12:31,5.2,15.0002,-94.555,29,"148 km al SUROESTE de TONALA, CHIS",9/12/2017,1:12:31,revisado
9/12/2017,0:08:44,5.5,14.9748,-94.0125,24.9,"117 km al SUROESTE de PIJIJIAPAN, CHIS",9/12/2017,5:08:44,revisado
9/12/2017,15:07:30,5,15.3738,-94.7953,16.5,"99 km al SURESTE de SALINA CRUZ, OAX",9/12/2017,20:07:30,revisado
9/12/2017,21:01:39,5,15.1547,-94.6012,21,"130 km al SURESTE de SALINA CRUZ, OAX",9/13/2017,2:01:39,revisado
9/13/2017,0:09:31,5,15.2148,-93.6858,54.6,"73 km al SUROESTE de PIJIJIAPAN, CHIS",9/13/2017,5:09:31,revisado
9/13/2017,16:30:47,5.3,15.372,-95.2813,33.4,"90 km al SUR de SALINA CRUZ, OAX",9/13/2017,21:30:47,revisado
9/16/2017,6:23:18,5.2,14.6352,-94.3842,5,"172 km al SUROESTE de PIJIJIAPAN, CHIS",9/16/2017,11:23:18,revisado
9/16/2017,12:07:13,5,15.704,-95.2512,20,"53 km al SUR de SALINA CRUZ, OAX",9/16/2017,17:07:13,revisado
9/16/2017,14:35:28,5.1,14.9842,-94.8168,10,"139 km al SURESTE de SALINA CRUZ, OAX",9/16/2017,19:35:28,revisado
9/17/2017,1:07:52,5,15.643,-95.262,9.9,"60 km al SUR de SALINA CRUZ, OAX",9/17/2017,6:07:52,revisado
9/18/2017,9:19:14,5.8,15.2562,-94.7672,15,"112 km al SURESTE de SALINA CRUZ, OAX",9/18/2017,14:19:14,revisado
9/18/2017,14:51:29,5.2,14.9975,-94.8503,13.9,"136 km al SURESTE de SALINA CRUZ, OAX",9/18/2017,19:51:29,revisado
9/19/2017,2:02:58,5,15.5117,-94.7553,17.5,"88 km al SURESTE de SALINA CRUZ, OAX",9/19/2017,7:02:58,revisado
9/19/2017,2:53:10,5.6,14.7945,-94.4245,11.4,"160 km al SUROESTE de TONALA, CHIS",9/19/2017,7:53:10,revisado
9/19/2017,13:14:39,7.1,18.3297,-98.6712,51.2,"8 km al NOROESTE de CHIAUTLA DE TAPIA, PUE",9/19/2017,18:14:39,revisado
9/19/2017,16:13:13,5,14.921,-94.8352,13,"145 km al SURESTE de SALINA CRUZ, OAX",9/19/2017,21:13:13,revisado
9/20/2017,5:39:26,5.1,15.0585,-93.5768,52.4,"80 km al SUROESTE de PIJIJIAPAN, CHIS",9/20/2017,10:39:26,revisado
9/22/2017,0:33:45,5.1,23.5463,-108.63,14.4,"123 km al NORESTE de SAN JOSE DEL CABO, BCS",9/22/2017,5:33:45,revisado
9/23/2017,5:38:05,5.8,15.2525,-94.586,35,"122 km al SURESTE de SALINA CRUZ, OAX",9/23/2017,10:38:05,revisado
9/23/2017,7:53:01,6.1,16.496,-95.146,10,"9 km al SUROESTE de CD IXTEPEC, OAX",9/23/2017,12:53:01,revisado
9/23/2017,9:31:47,5,16.4523,-94.9925,10,"4 km al NORESTE de JUCHITAN DE ZARAGOZA, OAX",9/23/2017,14:31:47,revisado
9/24/2017,5:06:08,5.8,15.0823,-94.3375,15.8,"127 km al SUROESTE de TONALA, CHIS",9/24/2017,10:06:08,revisado
9/24/2017,18:29:31,5,15.5395,-94.5627,16.1,"98 km al SURESTE de SALINA CRUZ, OAX",9/24/2017,23:29:31,revisado
9/28/2017,23:00:20,5.5,14.6185,-94.3575,16.1,"171 km al SUROESTE de PIJIJIAPAN, CHIS",9/29/2017,4:00:20,revisado
9/28/2017,23:33:12,5.2,14.6262,-94.3393,6.7,"169 km al SUROESTE de PIJIJIAPAN, CHIS",9/29/2017,4:33:12,revisado
9/29/2017,16:50:46,5,15.1513,-94.4072,17.9,"125 km al SUROESTE de TONALA, CHIS",9/29/2017,21:50:46,revisado
